topic,language,path
Mammal,english,../data/searching_for_science/13_Mammal_en_US.html
Mammal,hebrew,../data/searching_for_science/13_יונקים_hw_IL.html
Mammal,russian,../data/searching_for_science/13_Млекопитающие_ru_RU.html
Mammal,arabic,../data/searching_for_science/13_ثدييات_ar_EG.html
