,query,link,lang,country,termid
7,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=Effects+of+soil+pollution+on+environment&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAg5EAE,en,US,65
0,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=Sources+of+greenhouse+gases&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhUEAE,en,US,66
1,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=What+do+greenhouse+gases+do&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhXEAE,en,US,66
2,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=How+many+greenhouse+gases+are+there&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhWEAE,en,US,66
3,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=Is+nitrogen+a+greenhouse+gas&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhREAE,en,US,66
4,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=Greenhouse+gas+emissions+by+country&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhSEAE,en,US,66
5,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=Greenhouse+gases+and+global+warming&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhQEAE,en,US,66
6,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=Is+ozone+a+greenhouse+gas&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhTEAE,en,US,66
7,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=Is+methane+a+greenhouse+gas&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhVEAE,en,US,66
0,Infection,https://www.google.com/search?gl=US&hl=en&q=Infection+symptoms&sa=X&ved=2ahUKEwi3tP2-_Nn3AhWFPM0KHSQeDZEQ1QJ6BAgwEAE,en,US,68
1,Infection,https://www.google.com/search?gl=US&hl=en&q=Types+of+infections&sa=X&ved=2ahUKEwi3tP2-_Nn3AhWFPM0KHSQeDZEQ1QJ6BAgsEAE,en,US,68
2,Infection,https://www.google.com/search?gl=US&hl=en&q=4+types+of+infections&sa=X&ved=2ahUKEwi3tP2-_Nn3AhWFPM0KHSQeDZEQ1QJ6BAgrEAE,en,US,68
3,Infection,https://www.google.com/search?gl=US&hl=en&q=Bacterial+infection&sa=X&ved=2ahUKEwi3tP2-_Nn3AhWFPM0KHSQeDZEQ1QJ6BAgqEAE,en,US,68
4,Infection,https://www.google.com/search?gl=US&hl=en&q=Infection+definition+medical&sa=X&ved=2ahUKEwi3tP2-_Nn3AhWFPM0KHSQeDZEQ1QJ6BAg3EAE,en,US,68
5,Infection,https://www.google.com/search?gl=US&hl=en&q=What+causes+infection&sa=X&ved=2ahUKEwi3tP2-_Nn3AhWFPM0KHSQeDZEQ1QJ6BAg0EAE,en,US,68
0,Flood,https://www.google.com/search?gl=US&hl=en&q=Causes+of+flood&sa=X&ved=2ahUKEwis7LnA_Nn3AhVjZN8KHZMkBn8Q1QJ6BAhEEAE,en,US,70
1,Flood,https://www.google.com/search?gl=US&hl=en&q=Floods+in+the+world&sa=X&ved=2ahUKEwis7LnA_Nn3AhVjZN8KHZMkBn8Q1QJ6BAhDEAE,en,US,70
2,Flood,https://www.google.com/search?gl=US&hl=en&q=Effects+of+flood&sa=X&ved=2ahUKEwis7LnA_Nn3AhVjZN8KHZMkBn8Q1QJ6BAhCEAE,en,US,70
3,Flood,https://www.google.com/search?gl=US&hl=en&q=Types+of+flood&sa=X&ved=2ahUKEwis7LnA_Nn3AhVjZN8KHZMkBn8Q1QJ6BAhBEAE,en,US,70
4,Flood,https://www.google.com/search?gl=US&hl=en&q=Flood+facts&sa=X&ved=2ahUKEwis7LnA_Nn3AhVjZN8KHZMkBn8Q1QJ6BAhAEAE,en,US,70
5,Flood,https://www.google.com/search?gl=US&hl=en&q=Precautions+of+flood&sa=X&ved=2ahUKEwis7LnA_Nn3AhVjZN8KHZMkBn8Q1QJ6BAg_EAE,en,US,70
6,Flood,https://www.google.com/search?gl=US&hl=en&q=Floods+definition+and+causes&sa=X&ved=2ahUKEwis7LnA_Nn3AhVjZN8KHZMkBn8Q1QJ6BAhGEAE,en,US,70
7,Flood,https://www.google.com/search?gl=US&hl=en&q=Floods+wikipedia&sa=X&ved=2ahUKEwis7LnA_Nn3AhVjZN8KHZMkBn8Q1QJ6BAhFEAE,en,US,70
0,Drought,https://www.google.com/search?gl=US&hl=en&q=Drought+pronunciation&sa=X&ved=2ahUKEwiVncvB_Nn3AhWqVN8KHYwkAWYQ1QJ6BAg9EAE,en,US,71
1,Drought,https://www.google.com/search?gl=US&hl=en&q=Drought+causes&sa=X&ved=2ahUKEwiVncvB_Nn3AhWqVN8KHYwkAWYQ1QJ6BAg4EAE,en,US,71
2,Drought,https://www.google.com/search?gl=US&hl=en&q=u.s.+drought&sa=X&ved=2ahUKEwiVncvB_Nn3AhWqVN8KHYwkAWYQ1QJ6BAg0EAE,en,US,71
3,Drought,https://www.google.com/search?gl=US&hl=en&q=Types+of+drought&sa=X&ved=2ahUKEwiVncvB_Nn3AhWqVN8KHYwkAWYQ1QJ6BAgzEAE,en,US,71
4,Drought,https://www.google.com/search?gl=US&hl=en&q=Drought+synonym&sa=X&ved=2ahUKEwiVncvB_Nn3AhWqVN8KHYwkAWYQ1QJ6BAgyEAE,en,US,71
5,Drought,https://www.google.com/search?gl=US&hl=en&q=Drought+California&sa=X&ved=2ahUKEwiVncvB_Nn3AhWqVN8KHYwkAWYQ1QJ6BAgxEAE,en,US,71
6,Drought,https://www.google.com/search?gl=US&hl=en&q=Drought+facts&sa=X&ved=2ahUKEwiVncvB_Nn3AhWqVN8KHYwkAWYQ1QJ6BAgwEAE,en,US,71
7,Drought,https://www.google.com/search?gl=US&hl=en&q=Agricultural+drought&sa=X&ved=2ahUKEwiVncvB_Nn3AhWqVN8KHYwkAWYQ1QJ6BAgqEAE,en,US,71
0,Malnutrition,https://www.google.com/search?gl=NG&hl=en&q=Types+of+malnutrition&sa=X&ved=2ahUKEwjI2c_D_Nn3AhWkTN8KHefLBvYQ1QJ6BAgyEAE,en,NG,53
1,Malnutrition,https://www.google.com/search?gl=NG&hl=en&q=5+effects+of+malnutrition&sa=X&ved=2ahUKEwjI2c_D_Nn3AhWkTN8KHefLBvYQ1QJ6BAgxEAE,en,NG,53
2,Malnutrition,https://www.google.com/search?gl=NG&hl=en&q=Malnutrition+in+children&sa=X&ved=2ahUKEwjI2c_D_Nn3AhWkTN8KHefLBvYQ1QJ6BAgwEAE,en,NG,53
3,Malnutrition,https://www.google.com/search?gl=NG&hl=en&q=Malnutrition+ppt&sa=X&ved=2ahUKEwjI2c_D_Nn3AhWkTN8KHefLBvYQ1QJ6BAgvEAE,en,NG,53
4,Malnutrition,https://www.google.com/search?gl=NG&hl=en&q=what+are+the+five+causes+of+malnutrition%3F&sa=X&ved=2ahUKEwjI2c_D_Nn3AhWkTN8KHefLBvYQ1QJ6BAguEAE,en,NG,53
5,Malnutrition,https://www.google.com/search?gl=NG&hl=en&q=Malnutrition+diseases&sa=X&ved=2ahUKEwjI2c_D_Nn3AhWkTN8KHefLBvYQ1QJ6BAgtEAE,en,NG,53
6,Malnutrition,https://www.google.com/search?gl=NG&hl=en&q=Malnutrition+in+adults&sa=X&ved=2ahUKEwjI2c_D_Nn3AhWkTN8KHefLBvYQ1QJ6BAgpEAE,en,NG,53
