,position,title,link,thumbnail,channel,duration,platform,date,query,lang,country,termid
2,3,التغير المناخي.. سيول وفيضانات مدمرة من أوروبا إلى آسيا,https://www.youtube.com/watch?v=Vx3f2HyUDxM,https://serpapi.com/searches/627cff85ca968f48efc649b9/images/342313d366e87d4f234881ad767f53d9d082fa19dce9d6ee0dd81b85236d1364.jpeg,سكاي نيوز عربية,2:34,YouTube,25‏/07‏/2021,الفيضان,ar,EG,70
0,1,Video oficial Panorama de la Seguridad Alimentaria y ...,https://www.youtube.com/watch?v=EbBCqyC__dQ,https://i.ytimg.com/vi/EbBCqyC__dQ/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3nFs0N6sV2EIkr7tZJe5AgPbuEAOQ,Food and Agriculture Organization of the United Nations,1:55,YouTube,2 dic 2020,Seguridad alimentaria,es,ES,54
1,2,¿Qué es Seguridad Alimentaria?,https://www.youtube.com/watch?v=hReLLm3Y9VQ,https://i.ytimg.com/vi/hReLLm3Y9VQ/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3lNp2KbxKhW-DOlqlGUwwed0FG1wA,Gobierno Danilo Medina,2:03,YouTube,20 ene 2020,Seguridad alimentaria,es,ES,54
2,3,Panorama Regional de la Seguridad Alimentaria y Nutricional ...,https://www.youtube.com/watch?v=SdMUlZZaL00,https://i.ytimg.com/vi/SdMUlZZaL00/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3nqwf0Q61-z0ztRqLgvfeL5m91b9Q,Food and Agriculture Organization of the United Nations,2:20,YouTube,30 nov 2021,Seguridad alimentaria,es,ES,54
0,1,¿Cómo se puede enfriar el planeta y frenar el calentamiento ...,https://www.youtube.com/watch?v=2zHpbpjUUY4,https://i.ytimg.com/vi/2zHpbpjUUY4/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3l5QpnCM-FRdrJigLl3n5uNyoGjTA,BBC News Mundo,7:04,YouTube,1 nov 2021,Calentamiento global,es,ES,59
1,2,El calentamiento global,https://www.youtube.com/watch?v=_4vmMKEVlsY,https://i.ytimg.com/vi/_4vmMKEVlsY/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3lUR0CVXYaeqtPv5z4d92FsN-Qd3A,AFP Español,1:46,YouTube,22 nov 2018,Calentamiento global,es,ES,59
2,3,CALENTAMIENTO GLOBAL: CAUSAS y CONSECUENCIAS,https://www.youtube.com/watch?v=umAGi80FsPM,https://i.ytimg.com/vi/umAGi80FsPM/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3lTnbGPnnAdBUhpDTpKsCp4sx6P1g,EcologíaVerde,4:51,YouTube,18 jul 2019,Calentamiento global,es,ES,59
0,1,"CONTAMINACIÓN DEL SUELO - Causas, consecuencias y ...",https://www.youtube.com/watch?v=dpqDxUK64cs,https://i.ytimg.com/vi/dpqDxUK64cs/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kJfVNQU-KJ1WALbS7YlEXmcielAA,EcologíaVerde,2:03,YouTube,4 feb 2018,Contaminación del suelo,es,ES,65
1,2,Contaminación del suelo - 14,https://www.youtube.com/watch?v=szL1IFM1ERg,https://i.ytimg.com/vi/szL1IFM1ERg/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3mJGb23X-9jvifmEmCAgD0eFM4oHA,Ingenia UdeA,14:09,YouTube,14 sept 2015,Contaminación del suelo,es,ES,65
2,3,Contaminación del suelo,https://www.youtube.com/watch?v=DY_cnjtx4Nk,https://i.ytimg.com/vi/DY_cnjtx4Nk/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3mpTwIehZ4sTODL8SjEfS2CuaphIw,Biomundos,3:09,YouTube,26 jul 2016,Contaminación del suelo,es,ES,65
0,1,¿Qué es el efecto invernadero? | Sostenibilidad - ACCIONA,https://www.youtube.com/watch?v=YLFLxQ0t07A,https://i.ytimg.com/vi/YLFLxQ0t07A/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3lorUJdbPL1AaghxJEAqt1IWYskfQ,ACCIONA,1:56,YouTube,28 jun 2016,Gas de efecto invernadero,es,ES,66
1,2,¿Qué es el Efecto Invernadero? | Videos Educativos para Niños,https://www.youtube.com/watch?v=D7azpbtGA4Y,https://i.ytimg.com/vi/D7azpbtGA4Y/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3nKs6PFMx4zwF_EmNrqwQ9Jp1lOqw,Aula365 – Los Creadores,4:48,YouTube,20 sept 2017,Gas de efecto invernadero,es,ES,66
2,3,¿Qué es el efecto invernadero? - Medio ambiente para niños,https://www.youtube.com/watch?v=uO_6oS4PUkU,https://i.ytimg.com/vi/uO_6oS4PUkU/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3m-x3Yoiud7qOxi4blg_P6aCkT03w,Smile and Learn - Español,4:04,YouTube,3 sept 2020,Gas de efecto invernadero,es,ES,66
0,1,Las fuertes lluvias en Madrid provocan inundaciones en ...,https://www.youtube.com/watch?v=9qTx9zn-cgE,https://serpapi.com/searches/627cffd4c47d3c493ab7eca6/images/37b9dbf3230450f50eb92fde9105858abccce62ae7d5997525314a1b0937ff84.jpeg,La Vanguardia,4:37,YouTube,1 sept 2021,Inundación,es,ES,70
1,2,ÚLTIMA HORA: ¡Diluvio en España! Inundación HISTÓRICA ...,https://www.youtube.com/watch?v=ScTReHcQ55s,https://serpapi.com/searches/627cffd4c47d3c493ab7eca6/images/37b9dbf3230450f530910b6cefc4821e97e13f20484c76d8903dcc6808e344e2.jpeg,Música Cristiana TV,8:03,YouTube,11 dic 2021,Inundación,es,ES,70
2,3,Las fuertes tormentas en Madrid provocan inundaciones en ...,https://www.youtube.com/watch?v=_DqMINzww10,https://serpapi.com/searches/627cffd4c47d3c493ab7eca6/images/37b9dbf3230450f5f64bdd224a8ba328b7c258dff30d3f8b3ea2c44445e2a9f9.jpeg,El Mundo,1:02,YouTube,1 sept 2021,Inundación,es,ES,70
0,1,"Serie Sequía: Episodio 1, en RTVE Play",https://www.rtve.es/play/videos/sequia/episodio-1/6287979/,https://serpapi.com/searches/627cffdb14b24578e5cf995a/images/2d97fb4b3a0ef8e5cd30c78d889bd57501ef2b0fb30f94d7802e52f7eb9f303c.jpeg,RTVE,1:15:00,RTVE.es,18 ene 2022,Sequía,es,ES,71
1,2,"Serie Sequía: Episodio 4, en RTVE Play",https://www.rtve.es/play/videos/sequia/episodio-4/6343023/,https://serpapi.com/searches/627cffdb14b24578e5cf995a/images/2d97fb4b3a0ef8e59b2511af47d2af436a1ab2e6aa0051fe347f159ee915c896.jpeg,RTVE,1:21:00,RTVE.es,8 feb 2022,Sequía,es,ES,71
2,3,"Serie Sequía: Episodio 6, en RTVE Play",https://www.rtve.es/play/videos/sequia/episodio-6/6374393/,https://serpapi.com/searches/627cffdb14b24578e5cf995a/images/2d97fb4b3a0ef8e58d0c8c67e60228a348ae4ce0eebcd3791615caa976aa536b.jpeg,RTVE,1:01:00,RTVE.es,15 feb 2022,Sequía,es,ES,71
0,1,La malnutrition : l'histoire - Corpus - réseau Canopé,https://www.reseau-canope.fr/corpus/video/la-malnutrition-l%E2%80%99histoire-195.html,https://serpapi.com/searches/627cffe4e4a23d1579ecb11d/images/19d38d45c919504fdc113335100eb665c5bb214fee1b86c080182a9b4fcb59b8.jpeg,,2:49,Réseau Canopé,10 juin 2016,Malnutrition,fr,FR,53
