,id,status,json_endpoint,created_at,processed_at,google_url,raw_html_file,total_time_taken,query,lang,country,termid
0,627cfffbe135084884e0abb4,Success,https://serpapi.com/searches/cccfdf7a82caaa26/627cfffbe135084884e0abb4.json,2022-05-12 12:39:23 UTC,2022-05-12 12:39:23 UTC,https://www.google.com/search?q=Infection&oq=Infection&uule=w+CAIQICIgUGFyaXMsUGFyaXMsSWxlLWRlLUZyYW5jZSxGcmFuY2U=&hl=fr&gl=FR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/cccfdf7a82caaa26/627cfffbe135084884e0abb4.html,2.23,Infection,fr,FR,68
0,627cffffd5ecf45784f4ccf8,Success,https://serpapi.com/searches/c59cf1f699d0127a/627cffffd5ecf45784f4ccf8.json,2022-05-12 12:39:27 UTC,2022-05-12 12:39:27 UTC,https://www.google.com/search?q=Inondation&oq=Inondation&uule=w+CAIQICIgUGFyaXMsUGFyaXMsSWxlLWRlLUZyYW5jZSxGcmFuY2U=&hl=fr&gl=FR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/c59cf1f699d0127a/627cffffd5ecf45784f4ccf8.html,0.74,Inondation,fr,FR,70
0,627d0001629a01f803d9ec05,Success,https://serpapi.com/searches/cea176c39b5049f0/627d0001629a01f803d9ec05.json,2022-05-12 12:39:29 UTC,2022-05-12 12:39:29 UTC,https://www.google.com/search?q=S%C3%A9cheresse&oq=S%C3%A9cheresse&uule=w+CAIQICIgUGFyaXMsUGFyaXMsSWxlLWRlLUZyYW5jZSxGcmFuY2U=&hl=fr&gl=FR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/cea176c39b5049f0/627d0001629a01f803d9ec05.html,1.64,Sécheresse,fr,FR,71
0,627d00042fe3022005d81faf,Success,https://serpapi.com/searches/d4464b1ef7184b50/627d00042fe3022005d81faf.json,2022-05-12 12:39:32 UTC,2022-05-12 12:39:32 UTC,https://www.google.com/search?q=Malnutrici%C3%B3n&oq=Malnutrici%C3%B3n&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/d4464b1ef7184b50/627d00042fe3022005d81faf.html,2.67,Malnutrición,es,AR,53
0,627d0008d5b1c5b4183b52e0,Success,https://serpapi.com/searches/b514ec9c43b54d06/627d0008d5b1c5b4183b52e0.json,2022-05-12 12:39:36 UTC,2022-05-12 12:39:36 UTC,https://www.google.com/search?q=Seguridad+alimentaria&oq=Seguridad+alimentaria&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/b514ec9c43b54d06/627d0008d5b1c5b4183b52e0.html,0.76,Seguridad alimentaria,es,AR,54
0,627d000a1baebbc3a676728e,Success,https://serpapi.com/searches/64a872c8bed21b9a/627d000a1baebbc3a676728e.json,2022-05-12 12:39:38 UTC,2022-05-12 12:39:38 UTC,https://www.google.com/search?q=Calor%C3%ADa&oq=Calor%C3%ADa&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/64a872c8bed21b9a/627d000a1baebbc3a676728e.html,1.96,Caloría,es,AR,56
0,627d000e1e803f24a181d85e,Success,https://serpapi.com/searches/7842b72ae090d505/627d000e1e803f24a181d85e.json,2022-05-12 12:39:42 UTC,2022-05-12 12:39:42 UTC,https://www.google.com/search?q=Energ%C3%ADa+renovable&oq=Energ%C3%ADa+renovable&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/7842b72ae090d505/627d000e1e803f24a181d85e.html,0.78,Energía renovable,es,AR,58
0,627d0010f636ffb48a05a88f,Success,https://serpapi.com/searches/9e6141a9e6a6e776/627d0010f636ffb48a05a88f.json,2022-05-12 12:39:44 UTC,2022-05-12 12:39:44 UTC,https://www.google.com/search?q=Calentamiento+global&oq=Calentamiento+global&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/9e6141a9e6a6e776/627d0010f636ffb48a05a88f.html,0.98,Calentamiento global,es,AR,59
0,627d001318ca862c26988c33,Success,https://serpapi.com/searches/b3c3867bcaa859cc/627d001318ca862c26988c33.json,2022-05-12 12:39:47 UTC,2022-05-12 12:39:47 UTC,https://www.google.com/search?q=Contaminaci%C3%B3n+del+suelo&oq=Contaminaci%C3%B3n+del+suelo&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/b3c3867bcaa859cc/627d001318ca862c26988c33.html,0.81,Contaminación del suelo,es,AR,65
0,627d001596f5d72d0c2f2c93,Success,https://serpapi.com/searches/31eb05ce2da3534d/627d001596f5d72d0c2f2c93.json,2022-05-12 12:39:49 UTC,2022-05-12 12:39:49 UTC,https://www.google.com/search?q=Gas+de+efecto+invernadero&oq=Gas+de+efecto+invernadero&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/31eb05ce2da3534d/627d001596f5d72d0c2f2c93.html,4.73,Gas de efecto invernadero,es,AR,66
0,627d001b37b24a99eaa701cd,Success,https://serpapi.com/searches/9d828d2113e9af61/627d001b37b24a99eaa701cd.json,2022-05-12 12:39:55 UTC,2022-05-12 12:39:55 UTC,https://www.google.com/search?q=Infecci%C3%B3n&oq=Infecci%C3%B3n&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/9d828d2113e9af61/627d001b37b24a99eaa701cd.html,0.73,Infección,es,AR,68
0,627d001e3d6919aa93c4604d,Success,https://serpapi.com/searches/86ec3a1fade03896/627d001e3d6919aa93c4604d.json,2022-05-12 12:39:58 UTC,2022-05-12 12:39:58 UTC,https://www.google.com/search?q=Inundaci%C3%B3n&oq=Inundaci%C3%B3n&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/86ec3a1fade03896/627d001e3d6919aa93c4604d.html,12.86,Inundación,es,AR,70
0,627d002c3c3fb23cf43281fb,Success,https://serpapi.com/searches/f7dc88c75a2b0580/627d002c3c3fb23cf43281fb.json,2022-05-12 12:40:12 UTC,2022-05-12 12:40:12 UTC,https://www.google.com/search?q=Sequ%C3%ADa&oq=Sequ%C3%ADa&uule=w+CAIQICIjQnVlbm9zIEFpcmVzLEJ1ZW5vcyBBaXJlcyxBcmdlbnRpbmE=&hl=es&gl=AR&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/f7dc88c75a2b0580/627d002c3c3fb23cf43281fb.html,1.87,Sequía,es,AR,71
