Coutry,Lang,Capital,CC,Canonical Name
United States,en,DC,US,"Washington,District of Columbia,United States"
Nigeria,en,Abuja,NG,"Abuja,Federal Capital Territory,Nigeria"
Israel,iw,Jerusalem,IL,"Jerusalem,Jerusalem District,Israel"
Russia,ru,Moscow,RU,"Moscow,Moscow,Russia"
Egypt,ar,Cairo,EG,"Cairo,Cairo Governorate,Egypt"
Spain,es,Madrid,ES,"Madrid,Community of Madrid,Spain"
France,fr,Paris,FR,"Paris,Paris,Ile-de-France,France"
Argentina,es,Buenos Aires,AR,"Buenos Aires,Buenos Aires,Argentina"
