Coutry,Lang,CC
Congo,fr,CG
United States,en,US
Israel,hw,IL
Germany,de,DE
Italy,it,IT
India,hi,IN
Russia,ru,RU
France,fr,FR
Canada,fr,CA
Canada,en,CA
Spain,es,ES
United States,es,US
Argentina,es,AR
Israel,ar,IL
Egypt,ar,EG
India,en,IN
South Africa,af,ZA
